,pop_est,continent,name,iso_a3,gdp_md_est,geometry
2,3639453.0,Europe,Albania,ALB,21810.0,"POLYGON ((20.59024743010491 41.85540416113361, 20.4631750830992 41.51508901627534, 20.60518191903736 41.08622630468523, 21.0200403174764 40.84272695572588, 20.99998986174722 40.58000397395398, 20.67499677906363 40.43499990494303, 20.61500044117275 40.11000682225938, 20.15001590341052 39.62499766698397, 19.98000044117015 39.69499339452341, 19.96000166187321 39.91500580500605, 19.40608198413673 40.25077342382247, 19.31905887215714 40.72723012955356, 19.40354983895429 41.40956574153546, 19.54002729663711 41.71998607031276, 19.37176883309496 41.87754751237065, 19.30448611825079 42.19574514420782, 19.73805138517963 42.68824738216557, 19.80161339689869 42.50009349219084, 20.07070000000004 42.58863000000008, 20.28375451018189 42.32025950781508, 20.52295000000004 42.21787000000006, 20.59024743010491 41.85540416113361))"
9,8210281.0,Europe,Austria,AUT,329500.0,"POLYGON ((16.97966678230404 48.12349701597631, 16.90375410326726 47.71486562762833, 16.34058434415041 47.71290192320123, 16.53426761238038 47.49617096616912, 16.20229821133736 46.85238597267696, 16.01166385261266 46.6836107448117, 15.13709191250499 46.65870270444703, 14.63247155117483 46.43181732846955, 13.80647545742153 46.50930613869122, 12.37648522304082 46.76755910906985, 12.15308800624305 47.11539317482645, 11.16482791509327 46.94157949481273, 11.04855594243654 46.75135854754634, 10.44270145024663 46.89354625099743, 9.932448357796659 46.92072805438296, 9.479969516649021 47.10280996356337, 9.632931756232978 47.34760122332999, 9.59422610844635 47.52505809182027, 9.89606814946319 47.5801968450757, 10.40208377446521 47.30248769793916, 10.54450402186163 47.56639923765377, 11.42641401535474 47.52376618101297, 12.14135745611279 47.70308340106578, 12.62075971848449 47.67238760028441, 12.93262698736595 47.467645575544, 13.02585127122049 47.63758352313583, 12.8841028174439 48.28914581968792, 13.243357374737 48.41611481382905, 13.59594567226444 48.87717194273715, 14.33889773932472 48.55530528420721, 14.90144738125406 48.96440176044582, 15.25341556159398 49.03907420510758, 16.02964725105022 48.73389903420793, 16.49928266771877 48.78580801044511, 16.96028812019458 48.5969823268506, 16.879982944413 48.47001333270947, 16.97966678230404 48.12349701597631))"
12,10414336.0,Europe,Belgium,BEL,389300.0,"POLYGON ((3.314971144228537 51.34578095153609, 4.047071160507528 51.26725861266857, 4.973991326526914 51.47502370869813, 5.606975945670001 51.03729848896978, 6.15665815595878 50.80372101501058, 6.043073357781111 50.12805166279423, 5.782417433300907 50.09032786722122, 5.674051954784829 49.5294835475575, 4.79922163251581 49.98537303323639, 4.286022983425084 49.90749664977255, 3.588184441755686 50.37899241800358, 3.123251580425801 50.78036326761458, 2.658422071960274 50.79684804951575, 2.513573032246143 51.14850617126183, 3.314971144228537 51.34578095153609))"
16,7204687.0,Europe,Bulgaria,BGR,93750.0,"POLYGON ((22.65714969248299 44.23492300066128, 22.94483239105185 43.82378530534713, 23.33230228037633 43.89701080990471, 24.10067915212417 43.74105133724785, 25.56927168142693 43.68844472917472, 26.06515872569975 43.94349376075127, 27.24239952974091 44.1759860296324, 27.97010704927508 43.81246816667522, 28.558081495892 43.70746165625813, 28.03909508638472 43.29317169857418, 27.67389773937805 42.57789236100622, 27.99672041190539 42.00735871028779, 27.13573937349048 42.14148489030134, 26.1170418637208 41.82690460872456, 26.10613813650721 41.32889883072778, 25.19720136892545 41.23448598893053, 24.49264489105803 41.58389618587204, 23.69207360199235 41.30908091894386, 22.95237715016645 41.33799388281115, 22.88137373219743 41.99929718685026, 22.38052575042459 42.32025950781509, 22.54501183440962 42.46136200618804, 22.43659467946128 42.58032115332394, 22.60480146657133 42.89851878516114, 22.98601850758848 43.21116120052697, 22.50015669118028 43.64281443946099, 22.4104464047216 44.00806346289995, 22.65714969248299 44.23492300066128))"
18,4613414.0,Europe,Bosnia and Herz.,BIH,29700.0,"POLYGON ((19.00548628101012 44.86023366960916, 19.36802999999992 44.86300000000006, 19.11761000000007 44.42307000000011, 19.59976000000006 44.03846999999996, 19.45400000000006 43.56810000000013, 19.21851999999996 43.52384000000001, 19.03165000000007 43.43252999999999, 18.70648000000006 43.20011, 18.55999999999995 42.64999999999998, 17.67492150235898 43.02856252702361, 17.29737348803445 43.44634064388737, 16.91615644701733 43.66772247982567, 16.45644290534887 44.04123973243128, 16.23966027188453 44.35114329688571, 15.75002607591898 44.81871165626256, 15.95936730313338 45.23377676043094, 16.31815677253587 45.00412669532591, 16.53493940600021 45.21160757097772, 17.00214603035101 45.23377676043094, 17.8617834815264 45.06774038347714, 18.55321414559165 45.08158966733146, 19.00548628101012 44.86023366960916))"
19,9648533.0,Europe,Belarus,BLR,114100.0,"POLYGON ((23.48412763844985 53.91249766704114, 24.45068362803704 53.90570221619475, 25.53635379405699 54.28242340760253, 25.7684326514798 54.84696259217509, 26.58827924979039 55.16717560487167, 26.49433149588376 55.61510691997763, 27.10245975109453 55.78331370708769, 28.176709425578 56.16912995057881, 29.22951338066031 55.91834422466636, 29.37157189303067 55.67009064393618, 29.89629438652236 55.78946320253041, 30.87390913262001 55.55097646750341, 30.97183597181314 55.08154775656404, 30.75753380709872 54.81177094178432, 31.38447228366374 54.15705638286244, 31.79142418796224 53.97463857687212, 31.73127282077451 53.79402944601202, 32.40559858575116 53.61804535584204, 32.69364301934604 53.35142080343212, 32.30451948418823 53.13272614197291, 31.49764367038293 53.1674268662569, 31.30520063652801 53.07399587667321, 31.54001834486226 52.74205231384636, 31.78599816257159 52.10167796488545, 30.92754926933898 52.04235342061439, 30.61945438001484 51.82280609802238, 30.55511722181146 51.31950348571566, 30.1573637224609 51.41613841410147, 29.25493818534792 51.36823436136689, 28.99283532076353 51.60204437927148, 28.61761274589225 51.42771393493484, 28.24161502453657 51.57222707783907, 27.45406619640843 51.59230337178447, 26.33795861176856 51.83228872334793, 25.32778771332701 51.91065603291855, 24.55310631683952 51.88846100524918, 24.00507775238421 51.61744395609446, 23.52707075368437 51.57845408793024, 23.50800215016869 52.02364655212473, 23.19949384938619 52.48697744405367, 23.79919884613338 52.69109935160657, 23.80493493011778 53.08973135030607, 23.527535841575 53.47012156840655, 23.48412763844985 53.91249766704114))"
28,7604467.0,Europe,Switzerland,CHE,316700.0,"POLYGON ((9.59422610844635 47.52505809182027, 9.632931756232978 47.34760122332999, 9.479969516649021 47.10280996356337, 9.932448357796659 46.92072805438296, 10.44270145024663 46.89354625099743, 10.36337812667861 46.48357127540986, 9.922836541390382 46.31489940040919, 9.182881707403055 46.44021474871698, 8.966305779667806 46.03693187111119, 8.489952426801324 46.00515086525169, 8.316629672894379 46.16364248309086, 7.755992058959833 45.82449005795931, 7.273850945676656 45.77694774025078, 6.843592970414505 45.99114655210061, 6.500099724970426 46.42967275652944, 6.022609490593538 46.27298981382047, 6.037388950229001 46.72577871356187, 6.768713820023606 47.2877082383037, 6.736571079138059 47.54180125588285, 7.192202182655507 47.44976552997102, 7.466759067422231 47.62058197691181, 8.317301466514152 47.61357982033626, 8.522611932009767 47.83082754169129, 9.59422610844635 47.52505809182027))"
40,10211904.0,Europe,Czech Rep.,CZE,265200.0,"POLYGON ((16.96028812019458 48.5969823268506, 16.49928266771877 48.78580801044511, 16.02964725105022 48.73389903420793, 15.25341556159398 49.03907420510758, 14.90144738125406 48.96440176044582, 14.33889773932472 48.55530528420721, 13.59594567226444 48.87717194273715, 13.03132897304343 49.30706818297324, 12.52102420416119 49.54741526956273, 12.41519087082744 49.96912079528057, 12.24011111822256 50.26633779560728, 12.96683678554319 50.48407644306909, 13.33813195156029 50.73323436136435, 14.05622765468817 50.9269176295943, 14.30701338060064 51.11726776794141, 14.57071821458607 51.00233938252428, 15.01699588385867 51.10667409932158, 15.49097212083973 50.78472992614321, 16.23862674323857 50.69773265237984, 16.17625328946227 50.42260732685791, 16.71947594571444 50.21574656839354, 16.86876915860566 50.47397370055603, 17.55456709155112 50.36214590107642, 17.64944502123899 50.04903839781996, 18.39291385262217 49.98862864847075, 18.85314415861362 49.49622976337764, 18.55497114428948 49.49501536721878, 18.39999352384618 49.31500051533004, 18.17049848803796 49.27151479755643, 18.10497277189185 49.04398346617531, 17.91351159025047 48.99649282489909, 17.88648481616181 48.90347524677371, 17.54500695157711 48.80001902932537, 17.1019848975389 48.81696889911711, 16.96028812019458 48.5969823268506))"
41,82329758.0,Europe,Germany,DEU,2918000.0,"POLYGON ((9.921906365609232 54.98310415304803, 9.9395797054529 54.59664195415326, 10.95011233892052 54.36360708273315, 10.93946699386845 54.00869334575259, 11.95625247564328 54.19648550070116, 12.51844038254671 54.470370591848, 13.6474670752595 54.0755109727059, 14.11968631354256 53.75702912049104, 14.35331546393417 53.24817129171311, 14.07452111171943 52.98126251892535, 14.4375997250022 52.6248501654083, 14.68502648281572 52.08994741475522, 14.60709842291965 51.74518809671997, 15.01699588385878 51.10667409932171, 14.57071821458612 51.00233938252438, 14.30701338060067 51.11726776794137, 14.05622765468831 50.92691762959436, 13.3381319515604 50.73323436136428, 12.96683678554325 50.48407644306917, 12.24011111822267 50.26633779560723, 12.41519087082747 49.96912079528062, 12.52102420416134 49.54741526956275, 13.03132897304351 49.30706818297324, 13.59594567226458 48.87717194273716, 13.24335737473712 48.41611481382904, 12.88410281744387 48.28914581968786, 13.02585127122052 47.63758352313596, 12.93262698736606 47.467645575544, 12.62075971848452 47.67238760028442, 12.14135745611287 47.70308340106578, 11.42641401535485 47.52376618101306, 10.5445040218616 47.5663992376538, 10.40208377446532 47.30248769793917, 9.89606814946319 47.5801968450757, 9.594226108446378 47.5250580918202, 8.522611932009795 47.83082754169135, 8.317301466514095 47.61357982033627, 7.466759067422288 47.62058197691192, 7.593676385131062 48.33301911070373, 8.099278598674857 49.01778351500343, 6.65822960778371 49.20195831969164, 6.186320428094177 49.46380280211451, 6.242751092156993 49.90222565367873, 6.043073357781111 50.12805166279423, 6.15665815595878 50.80372101501058, 5.988658074577813 51.85161570902505, 6.589396599970826 51.85202912048339, 6.842869500362383 52.22844025329755, 7.092053256873896 53.14404328064489, 6.905139601274129 53.48216217713065, 7.100424838905269 53.69393219666267, 7.936239454793963 53.74829580343379, 8.121706170289485 53.52779246684429, 8.800734490604668 54.0207856309089, 8.572117954145369 54.39564647075406, 8.526229282270208 54.96274363872516, 9.282048780971138 54.83086538351631, 9.921906365609232 54.98310415304803))"
43,5500510.0,Europe,Denmark,DNK,203600.0,"MULTIPOLYGON (((12.69000613775563 55.60999095318078, 12.08999108241474 54.80001455343793, 11.04354332850423 55.36486379660425, 10.90391360845163 55.77995473898875, 12.37090416835329 56.11140737570884, 12.69000613775563 55.60999095318078)), ((10.91218183761836 56.45862132427791, 10.66780398930999 56.08138336854722, 10.36999271001199 56.19000722922473, 9.649984978889307 55.46999949810206, 9.921906365609175 54.98310415304806, 9.282048780971138 54.83086538351617, 8.526229282270236 54.96274363872499, 8.12031090661759 55.51772268332363, 8.089976840862249 56.5400117051376, 8.256581658571264 56.8099693874303, 8.543437534223386 57.11000275331691, 9.424469028367611 57.17206614849948, 9.775558709358563 57.44794078228966, 10.58000573084615 57.73001658795485, 10.54610599126269 57.21573273378615, 10.25000003423023 56.89001618105047, 10.36999271001199 56.60998159446083, 10.91218183761836 56.45862132427791)))"
